TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t0,0.0,0,93,806,30,52,n11
t1,1.0,1,36,479,40,81,n40
t2,2.0,2,33,498,20,49,n16
t3,3.0,3,24,535,20,24,n2
t4,3.0,4,39,602,10,100,n37
t5,4.0,5,65,830,10,79,n35
t6,5.0,6,80,418,40,73,n11
t7,5.0,7,83,610,30,57,n26
t8,6.0,8,56,470,30,43,n41
t9,8.0,9,83,226,10,90,n25
t10,9.0,10,75,543,40,47,n16
t11,9.0,11,100,785,30,27,n43
t12,10.0,12,40,143,40,69,n33
t13,10.0,13,42,721,10,24,n34
t14,11.0,14,51,716,20,72,n27
t15,11.0,15,70,349,40,83,n30
t16,11.0,16,100,880,30,64,n45
t17,12.0,17,23,587,30,34,n43
t18,14.0,18,43,142,30,63,n9
t19,15.0,19,41,858,40,69,n47
t20,16.0,20,53,784,20,25,n11
t21,16.0,21,23,116,30,96,n14
t22,17.0,22,15,584,10,25,n40
t23,18.0,23,32,288,30,41,n18
t24,19.0,24,92,516,20,95,n19
t25,21.0,25,80,555,30,29,n8
t26,23.0,26,30,621,30,79,n33
t27,25.0,27,58,976,10,54,n11
t28,25.0,28,23,471,20,100,n25
t29,25.0,29,56,954,40,86,n38
t30,26.0,30,95,263,10,37,n8
t31,29.0,31,64,486,10,76,n10
t32,29.0,32,95,262,40,22,n28
t33,29.0,33,95,748,30,97,n36
t34,29.0,34,86,204,20,70,n40
t35,30.0,35,98,415,30,66,n11
t36,30.0,36,22,577,20,78,n18
t37,30.0,37,93,739,30,32,n45
t38,35.0,38,42,130,30,22,n23
t39,35.0,39,65,649,10,24,n39
t40,35.0,40,63,329,10,35,n46
t41,36.0,41,75,607,40,34,n30
t42,36.0,42,51,788,20,74,n35
t43,38.0,43,32,549,10,70,n49
t44,40.0,44,72,497,20,51,n14
t45,40.0,45,30,790,40,40,n26
t46,41.0,46,90,226,40,50,n20
t47,45.0,47,43,929,40,87,n36
t48,46.0,48,95,485,40,22,n14
t49,47.0,49,31,488,40,20,n10
t50,48.0,50,38,922,40,41,n20
t51,49.0,51,98,974,10,59,n0
t52,49.0,52,80,427,30,83,n9
t53,50.0,53,40,943,10,23,n46
t54,51.0,54,26,196,10,36,n24
t55,51.0,55,64,348,10,98,n41
t56,53.0,56,13,986,20,71,n4
t57,54.0,57,48,284,30,39,n11
t58,56.0,58,57,299,30,41,n48
t59,56.0,59,64,604,40,28,n49
t60,57.0,60,51,854,40,48,n25
t61,57.0,61,36,628,30,45,n30
t62,60.0,62,14,375,40,61,n45
t63,61.0,63,98,149,10,28,n29
t64,62.0,64,88,481,40,88,n1
t65,63.0,65,78,813,40,72,n26
t66,64.0,66,29,809,10,69,n0
t67,66.0,67,92,991,30,51,n8
t68,66.0,68,15,451,30,44,n47
t69,68.0,69,85,869,10,32,n37
t70,70.0,70,21,354,10,42,n30
t71,71.0,71,15,688,20,69,n21
t72,72.0,72,22,444,30,27,n21
t73,73.0,73,66,101,10,46,n1
t74,76.0,74,18,551,30,44,n8
t75,76.0,75,21,170,10,96,n15
t76,76.0,76,43,168,10,60,n22
t77,76.0,77,82,306,10,21,n24
t78,77.0,78,35,306,20,58,n23
t79,77.0,79,78,273,30,75,n35
t80,78.0,80,89,941,10,81,n31
t81,83.0,81,61,770,20,36,n33
t82,83.0,82,84,509,40,38,n35
t83,84.0,83,68,380,30,81,n27
t84,85.0,84,99,589,10,22,n37
t85,85.0,85,72,614,30,29,n43
t86,87.0,86,78,724,40,82,n49
t87,89.0,87,41,356,20,78,n12
t88,89.0,88,80,532,20,92,n23
t89,89.0,89,61,561,40,81,n41
t90,90.0,90,19,394,10,44,n4
t91,90.0,91,54,755,10,49,n5
t92,90.0,92,36,952,40,51,n7
t93,91.0,93,51,690,20,66,n27
t94,91.0,94,44,863,30,97,n33
t95,93.0,95,67,390,10,79,n5
t96,94.0,96,84,546,30,91,n35
t97,95.0,97,30,503,10,38,n6
t98,97.0,98,57,753,30,39,n16
t99,98.0,99,58,155,30,79,n11
t100,98.0,100,90,956,10,20,n15
t101,98.0,101,74,147,30,80,n29
t102,100.0,102,96,511,40,96,n23
t103,100.0,103,52,611,40,58,n38
t104,103.0,104,14,276,10,75,n15
t105,106.0,105,48,716,30,37,n9
t106,108.0,106,63,823,10,21,n34
t107,108.0,107,31,438,30,22,n44
t108,109.0,108,87,781,10,32,n1
t109,109.0,109,23,614,20,45,n42
t110,110.0,110,48,459,10,25,n13
t111,110.0,111,94,239,20,83,n13
t112,111.0,112,25,294,10,40,n8
t113,112.0,113,69,325,20,65,n9
t114,113.0,114,67,394,40,48,n13
t115,113.0,115,72,485,10,29,n37
t116,115.0,116,30,295,40,25,n9
t117,115.0,117,56,836,20,91,n30
t118,115.0,118,32,589,30,64,n30
t119,115.0,119,80,631,10,98,n40
t120,119.0,120,19,234,40,82,n2
t121,120.0,121,56,176,20,28,n35
t122,121.0,122,48,323,20,91,n14
t123,121.0,123,76,956,20,43,n19
t124,122.0,124,11,575,20,70,n25
t125,127.0,125,34,127,20,35,n40
t126,129.0,126,35,837,40,59,n11
t127,129.0,127,31,895,20,64,n17
t128,129.0,128,79,213,10,77,n34
t129,130.0,129,81,964,20,82,n25
t130,130.0,130,27,629,40,30,n46
t131,134.0,131,36,733,20,43,n4
t132,134.0,132,53,782,40,43,n39
t133,135.0,133,47,147,40,87,n2
t134,136.0,134,37,153,20,40,n13
t135,136.0,135,47,414,30,81,n28
t136,137.0,136,84,581,20,82,n35
t137,138.0,137,34,935,40,24,n27
t138,138.0,138,51,191,40,49,n33
t139,139.0,139,59,201,40,21,n8
t140,139.0,140,17,950,10,63,n41
t141,139.0,141,44,869,30,61,n48
t142,141.0,142,23,908,10,84,n17
t143,141.0,143,62,369,10,37,n26
t144,141.0,144,56,576,30,60,n47
t145,142.0,145,43,615,10,30,n2
t146,143.0,146,14,260,10,20,n32
t147,144.0,147,27,225,40,80,n42
t148,144.0,148,10,582,40,27,n47
t149,146.0,149,100,730,10,24,n19
t150,146.0,150,25,576,10,95,n32
t151,147.0,151,12,267,10,77,n5
t152,147.0,152,62,582,40,84,n35
t153,148.0,153,49,643,30,72,n11
t154,148.0,154,44,332,20,38,n45
t155,148.0,155,93,358,40,79,n47
t156,149.0,156,72,468,40,22,n43
t157,150.0,157,76,385,40,63,n6
t158,150.0,158,65,138,10,92,n6
t159,151.0,159,38,896,40,30,n5
t160,152.0,160,13,178,30,45,n13
t161,155.0,161,72,837,10,37,n20
t162,155.0,162,90,905,10,89,n21
t163,156.0,163,22,649,30,87,n17
t164,156.0,164,52,324,30,97,n44
t165,159.0,165,34,318,10,92,n32
t166,159.0,166,86,477,10,25,n33
t167,159.0,167,85,700,10,57,n36
t168,160.0,168,73,992,20,23,n12
t169,161.0,169,49,912,20,53,n35
t170,166.0,170,61,782,30,41,n46
t171,167.0,171,84,268,40,66,n12
t172,168.0,172,54,691,30,49,n21
t173,168.0,173,28,796,20,60,n33
t174,169.0,174,79,868,40,66,n35
t175,171.0,175,82,218,30,53,n47
t176,172.0,176,59,394,30,88,n1
t177,173.0,177,53,430,20,91,n7
t178,174.0,178,88,579,40,22,n28
t179,175.0,179,66,548,20,69,n28
t180,175.0,180,37,616,30,32,n30
