TaskName,GenerationTime,TaskID,TaskSize,CyclesPerBit,TransBitRate,DDL,SrcName
t0,0.0,0,86,268,40,40,n64
t1,0.0,1,98,194,20,61,n84
t2,3.0,2,68,197,40,55,n50
t3,3.0,3,96,899,10,26,n53
t4,3.0,4,39,993,20,40,n58
t5,3.0,5,18,490,30,81,n70
t6,7.0,6,28,950,10,24,n34
t7,7.0,7,14,604,10,57,n95
t8,8.0,8,31,714,20,32,n7
t9,9.0,9,52,216,30,89,n30
t10,9.0,10,16,331,30,97,n75
t11,10.0,11,16,679,10,35,n33
t12,10.0,12,41,802,20,34,n42
t13,11.0,13,65,446,20,26,n93
t14,12.0,14,61,551,10,49,n95
t15,14.0,15,89,738,30,49,n81
t16,15.0,16,96,541,10,34,n0
t17,15.0,17,16,856,10,53,n32
t18,18.0,18,64,604,40,29,n45
t19,21.0,19,76,204,40,44,n65
t20,21.0,20,29,406,30,63,n84
t21,22.0,21,33,348,30,45,n20
t22,22.0,22,81,302,30,83,n25
t23,22.0,23,45,172,10,96,n27
t24,24.0,24,91,928,30,50,n48
t25,27.0,25,96,564,30,33,n86
t26,28.0,26,25,174,30,37,n62
t27,29.0,27,44,114,40,96,n76
t28,30.0,28,17,707,30,36,n25
t29,30.0,29,69,856,10,21,n35
t30,30.0,30,62,880,20,45,n68
t31,30.0,31,18,897,40,78,n90
t32,31.0,32,89,496,40,52,n99
t33,34.0,33,32,372,40,34,n66
t34,35.0,34,98,675,10,23,n14
t35,36.0,35,74,155,10,62,n70
t36,38.0,36,66,879,10,23,n97
t37,39.0,37,83,613,10,43,n46
t38,40.0,38,81,141,20,75,n57
t39,40.0,39,99,361,20,58,n79
t40,41.0,40,40,755,40,42,n41
t41,41.0,41,67,114,40,48,n81
t42,41.0,42,65,177,30,22,n89
t43,43.0,43,74,642,10,56,n84
t44,44.0,44,70,334,30,26,n75
t45,46.0,45,97,808,10,32,n81
t46,48.0,46,61,848,30,96,n64
t47,50.0,47,78,172,40,41,n43
t48,50.0,48,10,635,40,77,n70
t49,50.0,49,89,535,30,63,n86
t50,51.0,50,95,304,30,65,n26
